step,time_elapsed,mean_reward,std_reward
1860000,4422.356,-0.106,1.002
1870000,4444.054,0.142,0.978
1880000,4465.793,0.043,0.992
1890000,4487.76,-0.092,0.997
1900000,4509.395,-0.038,0.997
1910000,4531.219,0.065,0.995
1920000,4553.058,0.053,0.988
1930000,4574.337,-0.043,0.992
1940000,4596.179,-0.043,1.0
1950000,4634.311,-0.203,0.993
1960000,4655.685,-0.036,1.0
1970000,4677.298,0.0,0.989
1980000,4699.167,-0.007,0.997
1990000,4720.885,0.123,0.985
2000000,4742.311,0.162,0.975
2010000,4764.614,0.033,0.99
2020000,4786.22,-0.075,0.994
2030000,4808.02,0.139,0.981
2040000,4829.379,0.177,0.957
2050000,4869.39,0.026,1.003
2060000,4888.642,0.061,0.984
2070000,4909.862,0.142,0.967
2080000,4931.807,-0.08,1.001
2090000,4952.19,0.1,0.986
2100000,4972.613,0.043,0.991
2110000,4993.736,0.105,0.983
2120000,5015.445,0.183,0.973
2130000,5036.087,0.073,0.983
2140000,5057.039,0.029,0.996
2150000,5077.515,0.033,0.993
2160000,5114.548,-0.014,1.001
2170000,5135.548,0.016,0.993
2180000,5155.828,0.091,0.973
2190000,5176.764,0.052,0.992
2200000,5196.982,0.188,0.966
2210000,5217.951,-0.024,1.011
2220000,5238.64,0.167,0.957
2230000,5259.498,0.069,0.989
2240000,5280.185,0.154,0.972
2250000,5300.335,-0.096,0.997
2260000,5337.525,0.171,0.968
2270000,5357.771,0.002,1.002
2280000,5378.855,0.175,0.966
2290000,5399.386,0.061,0.99
2300000,5419.948,0.046,0.998
2310000,5440.72,0.178,0.96
2320000,5461.52,0.016,0.983
2330000,5482.264,0.042,1.002
2340000,5502.399,0.017,1.003
2350000,5523.373,-0.031,0.995
2360000,5560.002,-0.075,0.999
2370000,5580.917,0.097,0.981
2380000,5601.606,0.143,0.963
2390000,5622.315,0.038,0.995
2400000,5642.715,0.069,0.987
2410000,5663.587,0.236,0.951
2420000,5684.307,0.009,0.994
2430000,5704.514,0.062,0.984
2440000,5725.396,0.094,0.991
2450000,5745.757,0.173,0.97
2460000,5785.33,0.2,0.961
2470000,5803.52,0.155,0.977
2480000,5824.217,0.222,0.956
2490000,5845.006,0.085,0.981
2500000,12.316,0.947,0.0
2510000,32.592,0.204,0.951
2520000,54.086,0.171,0.965
2530000,75.916,0.229,0.95
2540000,96.599,0.111,0.981
2550000,116.151,0.148,0.971
2560000,135.308,-0.007,0.997
2570000,154.533,0.054,0.993
2580000,173.802,0.181,0.969
2590000,193.465,0.146,0.979
2600000,212.946,0.094,0.985
2610000,247.438,0.206,0.958
2620000,266.822,0.234,0.946
2630000,285.898,0.048,0.995
2640000,305.502,0.083,0.992
2650000,324.955,0.163,0.966
2660000,345.102,0.311,0.923
2670000,366.231,0.231,0.947
2680000,387.297,0.094,0.985
2690000,408.306,0.222,0.958
2700000,429.93,0.084,0.985
2710000,467.32,0.059,0.989
2720000,488.031,0.306,0.921
2730000,509.581,0.189,0.97
2740000,530.502,0.092,0.989
2750000,551.895,0.217,0.947
2760000,573.195,0.099,0.989
2770000,593.666,-0.026,1.003
2780000,614.981,0.104,0.981
2790000,636.331,-0.006,1.002
2800000,657.477,0.063,0.991
2810000,694.956,0.065,0.985
2820000,715.601,0.077,0.982
2830000,736.841,0.243,0.946
2840000,758.312,0.397,0.882
2850000,779.461,0.204,0.965
2860000,801.073,0.306,0.925
2870000,822.002,0.098,0.983
2880000,843.214,0.187,0.96
2890000,864.571,0.157,0.97
2900000,885.68,0.182,0.962
2910000,925.522,0.127,0.983
2920000,944.601,0.122,0.983
2930000,966.499,0.222,0.956
2940000,988.762,0.18,0.964
2950000,1010.783,0.071,0.991
2960000,1033.19,0.11,0.992
2970000,1055.821,0.143,0.967
2980000,1079.15,0.243,0.946
2990000,1103.044,0.241,0.947
3000000,1127.048,0.302,0.928
3010000,1151.343,0.208,0.953
3020000,1193.601,0.227,0.953
3030000,1218.421,0.2,0.956
3040000,1240.954,0.075,0.992
3050000,1263.227,0.092,0.987
3060000,1286.233,0.105,0.985
