step,time_elapsed,mean_reward,std_reward
195000,1489.727,-0.795,0.617
196000,1501.958,-0.76,0.661
197000,1512.176,-0.815,0.592
198000,1522.865,-0.869,0.51
199000,1532.56,-0.805,0.604
200000,1542.599,-0.809,0.6
201000,1553.621,-0.87,0.508
202000,1564.911,-0.988,0.208
203000,1574.902,-0.874,0.504
204000,1586.731,-0.878,0.496
205000,1598.105,-0.904,0.446
206000,1608.348,-0.811,0.597
207000,1617.733,-0.855,0.533
208000,1627.031,-0.756,0.664
209000,1638.617,-0.836,0.561
210000,1649.334,-0.776,0.641
211000,1659.682,-0.815,0.592
212000,1671.524,-0.855,0.537
213000,1680.814,-0.901,0.453
214000,1692.633,-0.861,0.526
215000,1703.581,-0.811,0.598
216000,1714.148,-0.786,0.628
217000,1725.808,-0.849,0.543
218000,1735.949,-0.755,0.668
219000,1747.168,-0.803,0.609
220000,1757.942,-0.873,0.504
221000,1768.576,-0.801,0.61
222000,1779.056,-0.805,0.605
223000,1789.484,-0.695,0.727
224000,1799.788,-0.805,0.606
225000,1810.368,-0.827,0.575
226000,1820.631,-0.763,0.655
227000,1832.056,-0.846,0.547
228000,1843.097,-0.787,0.628
229000,1854.092,-0.895,0.462
230000,1866.538,-0.822,0.583
231000,1879.0,-0.827,0.576
232000,1891.783,-0.858,0.53
233000,1902.251,-0.856,0.532
234000,1914.94,-0.676,0.745
235000,1927.195,-0.896,0.46
236000,1936.787,-0.749,0.672
237000,1947.72,-0.703,0.72
238000,1959.068,-0.824,0.579
239000,1969.796,-0.829,0.573
240000,1981.573,-0.878,0.497
241000,1990.63,-0.655,0.764
242000,2001.882,-0.739,0.684
243000,2013.088,-0.827,0.575
244000,2023.77,-0.751,0.67
245000,2034.747,-0.887,0.48
246000,2046.074,-0.886,0.481
247000,2056.657,-0.762,0.658
248000,2067.937,-0.885,0.482
249000,2079.107,-0.747,0.675
250000,2088.773,-0.749,0.675
251000,2100.282,-0.843,0.553
252000,2111.014,-0.807,0.602
253000,2122.316,-0.767,0.652
254000,2133.73,-0.778,0.64
255000,2143.933,-0.804,0.609
256000,2155.456,-0.757,0.664
257000,2166.191,-0.72,0.702
258000,2177.666,-0.795,0.619
259000,2187.456,-0.786,0.628
260000,2199.878,-0.876,0.497
261000,2209.093,-0.836,0.563
262000,2220.714,-0.752,0.67
263000,2231.645,-0.715,0.708
264000,2242.103,-0.834,0.565
265000,2252.952,-0.771,0.648
266000,2264.829,-0.828,0.573
267000,2274.472,-0.858,0.531
268000,2286.875,-0.912,0.429
269000,2297.664,-0.829,0.572
270000,2307.908,-0.782,0.634
271000,2318.471,-0.909,0.436
272000,2329.6,-0.841,0.556
273000,2340.111,-0.786,0.629
274000,2350.476,-0.771,0.647
275000,2361.485,-0.822,0.583
276000,2371.258,-0.84,0.555
277000,2383.607,-0.759,0.661
278000,2393.89,-0.728,0.695
279000,2404.557,-0.795,0.618
280000,2416.203,-0.85,0.539
281000,2427.116,-0.838,0.56
282000,2437.839,-0.821,0.582
283000,2449.755,-0.725,0.697
284000,2459.662,-0.749,0.672
285000,2470.188,-0.889,0.475
